Read 966 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
x x 1631923577.9227118 bao_train/bao_675.sql 0.10786080360412598 PG
x x 1631923578.0274467 bao_train/bao_1022.sql 0.10466575622558594 PG
x x 1631923578.2062647 bao_train/bao_190.sql 0.17876505851745605 PG
x x 1631923578.31324 bao_train/bao_121.sql 0.1069035530090332 PG
x x 1631923578.417013 bao_train/bao_763.sql 0.10370945930480957 PG
x x 1631923578.5215316 bao_train/bao_709.sql 0.10446381568908691 PG
x x 1631923578.6259418 bao_train/bao_904.sql 0.10435748100280762 PG
x x 1631923578.7316759 bao_train/bao_1078.sql 0.10568475723266602 PG
x x 1631923578.8384569 bao_train/bao_399.sql 0.10672831535339355 PG
x x 1631923578.941735 bao_train/bao_1026.sql 0.10322427749633789 PG
x x 1631923579.0462677 bao_train/bao_1198.sql 0.10447955131530762 PG
x x 1631923585.7433307 bao_train/bao_520.sql 6.6969969272613525 PG
x x 1631923585.849777 bao_train/bao_1023.sql 0.10637521743774414 PG
x x 1631923586.771489 bao_train/bao_117.sql 0.921656608581543 PG
x x 1631923586.8776824 bao_train/bao_685.sql 0.10614252090454102 PG
x x 1631923587.9495347 bao_train/bao_578.sql 1.0717992782592773 PG
x x 1631923588.0571387 bao_train/bao_1199.sql 0.10754990577697754 PG
x x 1631923588.1959324 bao_train/bao_62.sql 0.13874053955078125 PG
x x 1631923588.3042693 bao_train/bao_829.sql 0.10828280448913574 PG
x x 1631923588.412889 bao_train/bao_1005.sql 0.1085519790649414 PG
x x 1631923588.520767 bao_train/bao_826.sql 0.10782122611999512 PG
x x 1631923588.6274984 bao_train/bao_729.sql 0.10667228698730469 PG
x x 1631923588.8123915 bao_train/bao_288.sql 0.18484091758728027 PG
x x 1631923588.9195006 bao_train/bao_1141.sql 0.1070547103881836 PG
x x 1631923589.0267282 bao_train/bao_962.sql 0.10717439651489258 PG
x x 1631923589.7230794 bao_train/bao_282.sql 0.6962957382202148 PG
x x 1631923589.8327074 bao_train/bao_1084.sql 0.1095724105834961 PG
x x 1631923589.944096 bao_train/bao_1088.sql 0.11133265495300293 PG
x x 1631923590.0531845 bao_train/bao_864.sql 0.10903334617614746 PG
x x 1631923590.1636267 bao_train/bao_642.sql 0.11037373542785645 PG
x x 1631923590.2734625 bao_train/bao_827.sql 0.10977935791015625 PG
x x 1631923590.3818564 bao_train/bao_756.sql 0.10833859443664551 PG
x x 1631923592.7588112 bao_train/bao_563.sql 2.3769006729125977 PG
x x 1631923592.8726733 bao_train/bao_977.sql 0.11380386352539062 PG
x x 1631923593.1045003 bao_train/bao_33.sql 0.23177409172058105 PG
x x 1631923593.7634683 bao_train/bao_587.sql 0.658912181854248 PG
x x 1631923593.8763282 bao_train/bao_848.sql 0.11280179023742676 PG
x x 1631923593.9868402 bao_train/bao_656.sql 0.11043715476989746 PG
x x 1631923594.0963056 bao_train/bao_877.sql 0.10940766334533691 PG
x x 1631923594.3309746 bao_train/bao_616.sql 0.23461413383483887 PG
x x 1631923594.4404607 bao_train/bao_734.sql 0.10943150520324707 PG
x x 1631923594.5496495 bao_train/bao_1041.sql 0.10913205146789551 PG
x x 1631923595.8446324 bao_train/bao_130.sql 1.2949304580688477 PG
x x 1631923596.0199478 bao_train/bao_213.sql 0.17526030540466309 PG
x x 1631923596.1316946 bao_train/bao_1072.sql 0.11169123649597168 PG
x x 1631923596.4438598 bao_train/bao_135.sql 0.31210923194885254 PG
x x 1631923596.5538914 bao_train/bao_1091.sql 0.10997676849365234 PG
x x 1631923596.7049656 bao_train/bao_195.sql 0.15102219581604004 PG
x x 1631923596.8175514 bao_train/bao_672.sql 0.11252880096435547 PG
x x 1631923599.5373542 bao_train/bao_321.sql 2.719747543334961 PG
Initial input channels: 12
Epoch 0 training loss: 0.18570489156991243
Stopped training from convergence condition at epoch 14
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
0 0 1631923612.1723866 bao_train/bao_330.sql 11.03662395477295
0 1 1631923612.290467 bao_train/bao_1189.sql 0.11797833442687988
0 2 1631923612.5207765 bao_train/bao_17.sql 0.2302539348602295
0 3 1631923612.6387308 bao_train/bao_944.sql 0.1178889274597168
0 4 1631923612.755285 bao_train/bao_684.sql 0.11649537086486816
0 5 1631923612.8715553 bao_train/bao_647.sql 0.11619901657104492
0 6 1631923612.9891691 bao_train/bao_1155.sql 0.11755800247192383
0 7 1631923613.1060252 bao_train/bao_756.sql 0.11679863929748535
0 8 1631923613.2245717 bao_train/bao_1148.sql 0.11847829818725586
0 9 1631923613.4044597 bao_train/bao_340.sql 0.17983198165893555
0 10 1631923613.5213466 bao_train/bao_990.sql 0.11682248115539551
0 11 1631923613.63945 bao_train/bao_676.sql 0.11804890632629395
0 12 1631923613.8967462 bao_train/bao_592.sql 0.2572314739227295
0 13 1631923614.016819 bao_train/bao_716.sql 0.12001252174377441
0 14 1631923614.1347938 bao_train/bao_860.sql 0.11791801452636719
0 15 1631923614.6734066 bao_train/bao_79.sql 0.5385408401489258
0 16 1631923614.9800084 bao_train/bao_131.sql 0.30653905868530273
0 17 1631923615.098291 bao_train/bao_1029.sql 0.11821651458740234
0 18 1631923615.3283212 bao_train/bao_255.sql 0.22996115684509277
0 19 1631923615.9169855 bao_train/bao_180.sql 0.5885734558105469
0 20 1631923616.0347097 bao_train/bao_1190.sql 0.11766982078552246
0 21 1631923616.466948 bao_train/bao_94.sql 0.43218183517456055
0 22 1631923616.5843265 bao_train/bao_890.sql 0.11731243133544922
0 23 1631923616.7954373 bao_train/bao_253.sql 0.2110586166381836
0 24 1631923616.9121337 bao_train/bao_690.sql 0.11664342880249023
0 25 1631923617.0384526 bao_train/bao_365.sql 0.12626910209655762
0 26 1631923617.156049 bao_train/bao_924.sql 0.11753654479980469
0 27 1631923617.2954745 bao_train/bao_45.sql 0.13936638832092285
0 28 1631923618.033668 bao_train/bao_178.sql 0.7381331920623779
0 29 1631923629.0586653 bao_train/bao_158.sql 11.024846076965332
0 30 1631923629.2368312 bao_train/bao_59.sql 0.1780838966369629
0 31 1631923629.9108603 bao_train/bao_175.sql 0.6739764213562012
0 32 1631923630.092107 bao_train/bao_625.sql 0.18118023872375488
0 33 1631923641.1267772 bao_train/bao_90.sql 11.034516096115112
0 34 1631923648.2052252 bao_train/bao_369.sql 7.0783679485321045
0 35 1631923648.3228252 bao_train/bao_1198.sql 0.11752891540527344
0 36 1631923648.440971 bao_train/bao_998.sql 0.11809110641479492
0 37 1631923659.4651723 bao_train/bao_527.sql 11.02404236793518
0 38 1631923659.5827093 bao_train/bao_1082.sql 0.11744379997253418
0 39 1631923659.6993182 bao_train/bao_1042.sql 0.11655187606811523
0 40 1631923659.8171775 bao_train/bao_1099.sql 0.11779165267944336
0 41 1631923659.9342916 bao_train/bao_664.sql 0.11705327033996582
0 42 1631923660.0520532 bao_train/bao_814.sql 0.11768937110900879
0 43 1631923660.1721299 bao_train/bao_399.sql 0.12001872062683105
0 44 1631923660.2894118 bao_train/bao_1057.sql 0.11722970008850098
0 45 1631923660.4753823 bao_train/bao_342.sql 0.18591618537902832
0 46 1631923660.5928051 bao_train/bao_997.sql 0.11736631393432617
0 47 1631923660.7961013 bao_train/bao_556.sql 0.20323753356933594
0 48 1631923660.9132664 bao_train/bao_975.sql 0.11710643768310547
0 49 1631923661.0305476 bao_train/bao_876.sql 0.11721539497375488
Initial input channels: 12
Epoch 0 training loss: 0.08204658686493833
Epoch 15 training loss: 0.017325271697094042
