Read 953 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
x x 1632174118.6096563 bao_train/bao_679.sql 0.21198344230651855 PG
x x 1632174118.7225144 bao_train/bao_1021.sql 0.11279082298278809 PG
x x 1632174118.863328 bao_train/bao_186.sql 0.14074921607971191 PG
x x 1632174118.9730525 bao_train/bao_1199.sql 0.10964488983154297 PG
x x 1632174119.0825508 bao_train/bao_765.sql 0.10943746566772461 PG
x x 1632174119.1916678 bao_train/bao_711.sql 0.1090538501739502 PG
x x 1632174119.2995903 bao_train/bao_905.sql 0.10786199569702148 PG
x x 1632174119.4089553 bao_train/bao_1077.sql 0.10930538177490234 PG
x x 1632174120.4878519 bao_train/bao_398.sql 1.0788319110870361 PG
x x 1632174120.5965693 bao_train/bao_1026.sql 0.10865235328674316 PG
x x 1632174120.7066474 bao_train/bao_1195.sql 0.1100151538848877 PG
x x 1632174131.7292397 bao_train/bao_523.sql 11.022430658340454 PG
x x 1632174131.8389587 bao_train/bao_1023.sql 0.10961484909057617 PG
x x 1632174131.9492738 bao_train/bao_1177.sql 0.11024951934814453 PG
x x 1632174132.0595307 bao_train/bao_689.sql 0.11019396781921387 PG
x x 1632174132.303282 bao_train/bao_584.sql 0.24368548393249512 PG
x x 1632174132.4127424 bao_train/bao_1197.sql 0.10938262939453125 PG
x x 1632174132.522729 bao_train/bao_633.sql 0.10992121696472168 PG
x x 1632174132.6317189 bao_train/bao_831.sql 0.10892271995544434 PG
x x 1632174132.7427433 bao_train/bao_1005.sql 0.1109619140625 PG
x x 1632174132.853365 bao_train/bao_827.sql 0.11055779457092285 PG
x x 1632174132.9642 bao_train/bao_731.sql 0.11077404022216797 PG
x x 1632174133.4344525 bao_train/bao_27.sql 0.47016453742980957 PG
x x 1632174133.5427547 bao_train/bao_1139.sql 0.10823893547058105 PG
x x 1632174133.65476 bao_train/bao_963.sql 0.11194252967834473 PG
x x 1632174137.332913 bao_train/bao_275.sql 3.6780877113342285 PG
x x 1632174137.443697 bao_train/bao_1083.sql 0.11071658134460449 PG
x x 1632174137.5543773 bao_train/bao_1087.sql 0.11061573028564453 PG
x x 1632174137.6631997 bao_train/bao_865.sql 0.1087636947631836 PG
x x 1632174137.773041 bao_train/bao_646.sql 0.10977816581726074 PG
x x 1632174137.882815 bao_train/bao_829.sql 0.1097109317779541 PG
x x 1632174137.9933994 bao_train/bao_759.sql 0.11052417755126953 PG
x x 1632174138.2244287 bao_train/bao_571.sql 0.23096323013305664 PG
x x 1632174138.333464 bao_train/bao_977.sql 0.10897016525268555 PG
x x 1632174138.6388144 bao_train/bao_335.sql 0.3052847385406494 PG
x x 1632174138.8625247 bao_train/bao_591.sql 0.22364592552185059 PG
x x 1632174138.9715476 bao_train/bao_849.sql 0.10895991325378418 PG
x x 1632174139.754881 bao_train/bao_65.sql 0.7832691669464111 PG
x x 1632174139.8668199 bao_train/bao_879.sql 0.11187863349914551 PG
x x 1632174140.7932775 bao_train/bao_623.sql 0.9263954162597656 PG
x x 1632174140.9033659 bao_train/bao_737.sql 0.11001062393188477 PG
x x 1632174141.012376 bao_train/bao_1040.sql 0.1089475154876709 PG
x x 1632174141.1501815 bao_train/bao_124.sql 0.1377429962158203 PG
x x 1632174152.174314 bao_train/bao_207.sql 11.02394962310791 PG
x x 1632174152.2861097 bao_train/bao_1071.sql 0.11171936988830566 PG
x x 1632174152.5358794 bao_train/bao_131.sql 0.24970459938049316 PG
x x 1632174152.6461394 bao_train/bao_1090.sql 0.11019730567932129 PG
x x 1632174153.196928 bao_train/bao_189.sql 0.5507268905639648 PG
x x 1632174153.3065798 bao_train/bao_675.sql 0.10959100723266602 PG
x x 1632174164.3310003 bao_train/bao_313.sql 11.02425479888916 PG
Initial input channels: 12
Epoch 0 training loss: 0.054553860798478127
Epoch 15 training loss: 0.0061951262565950556
Stopped training from convergence condition at epoch 24
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
0 0 1632174168.1061702 bao_train/bao_321.sql 1.4145491123199463
0 1 1632174168.2233856 bao_train/bao_1186.sql 0.11713266372680664
0 2 1632174168.425302 bao_train/bao_177.sql 0.20185065269470215
0 3 1632174168.5419676 bao_train/bao_945.sql 0.11659836769104004
0 4 1632174168.65714 bao_train/bao_687.sql 0.11510396003723145
0 5 1632174168.7717257 bao_train/bao_651.sql 0.11452269554138184
0 6 1632174168.8882384 bao_train/bao_1153.sql 0.11644864082336426
0 7 1632174169.0040646 bao_train/bao_758.sql 0.11574506759643555
0 8 1632174169.119995 bao_train/bao_1146.sql 0.11587142944335938
0 9 1632174169.5397322 bao_train/bao_336.sql 0.41967272758483887
0 10 1632174169.656447 bao_train/bao_991.sql 0.11664772033691406
0 11 1632174169.7736185 bao_train/bao_679.sql 0.11710262298583984
0 12 1632174170.0911417 bao_train/bao_599.sql 0.3174560070037842
0 13 1632174170.209363 bao_train/bao_719.sql 0.11815810203552246
0 14 1632174170.326779 bao_train/bao_861.sql 0.11735033988952637
0 15 1632174170.4431539 bao_train/bao_800.sql 0.11631178855895996
0 16 1632174170.7775695 bao_train/bao_125.sql 0.3343546390533447
0 17 1632174170.892913 bao_train/bao_1028.sql 0.11527442932128906
0 18 1632174171.080562 bao_train/bao_243.sql 0.1875782012939453
0 19 1632174171.7856622 bao_train/bao_178.sql 0.70503830909729
0 20 1632174171.901536 bao_train/bao_1188.sql 0.11580824851989746
0 21 1632174172.0165997 bao_train/bao_950.sql 0.11500239372253418
0 22 1632174172.1313365 bao_train/bao_892.sql 0.11467123031616211
0 23 1632174172.733875 bao_train/bao_242.sql 0.602466344833374
0 24 1632174172.848988 bao_train/bao_693.sql 0.1150507926940918
0 25 1632174174.4464233 bao_train/bao_362.sql 1.5973725318908691
0 26 1632174174.562948 bao_train/bao_925.sql 0.11645770072937012
0 27 1632174174.714608 bao_train/bao_452.sql 0.1515944004058838
0 28 1632174175.039247 bao_train/bao_174.sql 0.32457661628723145
0 29 1632174175.1689918 bao_train/bao_154.sql 0.12966442108154297
0 30 1632174175.342407 bao_train/bao_602.sql 0.17334437370300293
0 31 1632174175.7113318 bao_train/bao_171.sql 0.368863582611084
0 32 1632174175.9441705 bao_train/bao_62.sql 0.23275375366210938
0 33 1632174186.970304 bao_train/bao_90.sql 11.025980710983276
0 34 1632174187.2909162 bao_train/bao_366.sql 0.320512056350708
0 35 1632174187.407977 bao_train/bao_1196.sql 0.11700129508972168
0 36 1632174187.5243497 bao_train/bao_998.sql 0.11630773544311523
0 37 1632174198.5507717 bao_train/bao_528.sql 11.026245594024658
0 38 1632174198.6688287 bao_train/bao_1081.sql 0.11796045303344727
0 39 1632174198.7851305 bao_train/bao_1041.sql 0.11623835563659668
0 40 1632174198.9024117 bao_train/bao_1098.sql 0.11721968650817871
0 41 1632174199.019363 bao_train/bao_667.sql 0.11689066886901855
0 42 1632174199.1355193 bao_train/bao_815.sql 0.11609196662902832
0 43 1632174199.4650433 bao_train/bao_398.sql 0.32946133613586426
0 44 1632174199.5809653 bao_train/bao_1056.sql 0.11585736274719238
0 45 1632174200.8830354 bao_train/bao_338.sql 1.3020086288452148
0 46 1632174200.999456 bao_train/bao_997.sql 0.11636018753051758
0 47 1632174201.1352227 bao_train/bao_55.sql 0.13570523262023926
0 48 1632174201.2513351 bao_train/bao_975.sql 0.11603569984436035
0 49 1632174201.3668053 bao_train/bao_878.sql 0.11540770530700684
Initial input channels: 12
Epoch 0 training loss: 0.06250395035992067
